Attribute_group	Attribute0	Rank	Fold	Attribute	mcc
habitat	free-living	all	Fold1	free-living--FALSE	1
habitat	free-living	all	Fold1	free-living--TRUE	0.4581228472908512
habitat	free-living	all	Fold10	free-living--FALSE	1
habitat	free-living	all	Fold10	free-living--TRUE	0.5680375574437545
habitat	free-living	all	Fold2	free-living--FALSE	0.9999999999999999
habitat	free-living	all	Fold2	free-living--TRUE	0.5238095238095238
habitat	free-living	all	Fold3	free-living--FALSE	0.9999999999999999
habitat	free-living	all	Fold3	free-living--TRUE	0.5680375574437545
habitat	free-living	all	Fold4	free-living--FALSE	1
habitat	free-living	all	Fold4	free-living--TRUE	0.5680375574437545
habitat	free-living	all	Fold5	free-living--FALSE	1
habitat	free-living	all	Fold5	free-living--TRUE	0.48785243670601874
habitat	free-living	all	Fold6	free-living--FALSE	0.9999999999999999
habitat	free-living	all	Fold6	free-living--TRUE	0.7014271166700072
habitat	free-living	all	Fold7	free-living--FALSE	1
habitat	free-living	all	Fold7	free-living--TRUE	0.6248199740725324
habitat	free-living	all	Fold8	free-living--FALSE	0.9999999999999999
habitat	free-living	all	Fold8	free-living--TRUE	0.5237229365663817
habitat	free-living	all	Fold9	free-living--FALSE	1
habitat	free-living	all	Fold9	free-living--TRUE	0.5680375574437545
habitat	host-associated	all	Fold1	host-associated--FALSE	0.9370801635556433
habitat	host-associated	all	Fold1	host-associated--TRUE	0.45670230791039607
habitat	host-associated	all	Fold10	host-associated--FALSE	0.9192661286091393
habitat	host-associated	all	Fold10	host-associated--TRUE	0.4092237955355674
habitat	host-associated	all	Fold2	host-associated--FALSE	0.9723258809087338
habitat	host-associated	all	Fold2	host-associated--TRUE	0.4092237955355674
habitat	host-associated	all	Fold3	host-associated--FALSE	0.9723258809087338
habitat	host-associated	all	Fold3	host-associated--TRUE	0.4866642633922876
habitat	host-associated	all	Fold4	host-associated--FALSE	0.9999999999999999
habitat	host-associated	all	Fold4	host-associated--TRUE	0.6240782676960689
habitat	host-associated	all	Fold5	host-associated--FALSE	0.9547141743834662
habitat	host-associated	all	Fold5	host-associated--TRUE	0.4866642633922876
habitat	host-associated	all	Fold6	host-associated--FALSE	0.9547141743834662
habitat	host-associated	all	Fold6	host-associated--TRUE	0.45670230791039607
habitat	host-associated	all	Fold7	host-associated--FALSE	0.9461460287356851
habitat	host-associated	all	Fold7	host-associated--TRUE	0.5671308728156005
habitat	host-associated	all	Fold8	host-associated--FALSE	0.9730276342280603
habitat	host-associated	all	Fold8	host-associated--TRUE	0.4866642633922876
habitat	host-associated	all	Fold9	host-associated--FALSE	0.929464090326082
habitat	host-associated	all	Fold9	host-associated--TRUE	0.4866642633922876
habitat	not_host-associated	all	Fold1	not_host-associated--FALSE	1
habitat	not_host-associated	all	Fold1	not_host-associated--TRUE	0.4375949744936837
habitat	not_host-associated	all	Fold10	not_host-associated--FALSE	1.0000000000000002
habitat	not_host-associated	all	Fold10	not_host-associated--TRUE	0.3971825911280442
habitat	not_host-associated	all	Fold2	not_host-associated--FALSE	0.9999999999999999
habitat	not_host-associated	all	Fold2	not_host-associated--TRUE	0.5273665722434034
habitat	not_host-associated	all	Fold3	not_host-associated--FALSE	1
habitat	not_host-associated	all	Fold3	not_host-associated--TRUE	0.46254512271100134
habitat	not_host-associated	all	Fold4	not_host-associated--FALSE	0.9999999999999998
habitat	not_host-associated	all	Fold4	not_host-associated--TRUE	0.6273890509696481
habitat	not_host-associated	all	Fold5	not_host-associated--FALSE	0.9999999999999998
habitat	not_host-associated	all	Fold5	not_host-associated--TRUE	0.5711752224595996
habitat	not_host-associated	all	Fold6	not_host-associated--FALSE	1
habitat	not_host-associated	all	Fold6	not_host-associated--TRUE	0.5273665722434034
habitat	not_host-associated	all	Fold7	not_host-associated--FALSE	1
habitat	not_host-associated	all	Fold7	not_host-associated--TRUE	0.5273665722434034
habitat	not_host-associated	all	Fold8	not_host-associated--FALSE	1
habitat	not_host-associated	all	Fold8	not_host-associated--TRUE	0.5273280443046439
habitat	not_host-associated	all	Fold9	not_host-associated--FALSE	0.9999999999999999
habitat	not_host-associated	all	Fold9	not_host-associated--TRUE	0.3971825911280442
habitat	free-living	species	Fold1	free-living--FALSE	1
habitat	free-living	species	Fold1	free-living--TRUE	0.5680375574437545
habitat	free-living	species	Fold10	free-living--FALSE	1
habitat	free-living	species	Fold10	free-living--TRUE	0.5679618342470648
habitat	free-living	species	Fold2	free-living--FALSE	1.0000000000000002
habitat	free-living	species	Fold2	free-living--TRUE	0.48775324274314324
habitat	free-living	species	Fold3	free-living--FALSE	0.9999999999999999
habitat	free-living	species	Fold3	free-living--TRUE	0.5236349380886429
habitat	free-living	species	Fold4	free-living--FALSE	1
habitat	free-living	species	Fold4	free-living--TRUE	0.6247580176717713
habitat	free-living	species	Fold5	free-living--FALSE	0.9999999999999999
habitat	free-living	species	Fold5	free-living--TRUE	0.4579054698896255
habitat	free-living	species	Fold6	free-living--FALSE	0.9999999999999999
habitat	free-living	species	Fold6	free-living--TRUE	0.5679618342470648
habitat	free-living	species	Fold7	free-living--FALSE	0.9999999999999999
habitat	free-living	species	Fold7	free-living--TRUE	0.5236349380886429
habitat	free-living	species	Fold8	free-living--FALSE	0.9999999999999999
habitat	free-living	species	Fold8	free-living--TRUE	0.8131975913519699
habitat	free-living	species	Fold9	free-living--FALSE	1
habitat	free-living	species	Fold9	free-living--TRUE	0.5236349380886429
habitat	host-associated	species	Fold1	host-associated--FALSE	0.9370801635556433
habitat	host-associated	species	Fold1	host-associated--TRUE	0.45670230791039607
habitat	host-associated	species	Fold10	host-associated--FALSE	0.9192661286091393
habitat	host-associated	species	Fold10	host-associated--TRUE	0.4092237955355674
habitat	host-associated	species	Fold2	host-associated--FALSE	0.9723258809087338
habitat	host-associated	species	Fold2	host-associated--TRUE	0.4092237955355674
habitat	host-associated	species	Fold3	host-associated--FALSE	0.9723258809087338
habitat	host-associated	species	Fold3	host-associated--TRUE	0.4866642633922876
habitat	host-associated	species	Fold4	host-associated--FALSE	0.9999999999999999
habitat	host-associated	species	Fold4	host-associated--TRUE	0.6240782676960689
habitat	host-associated	species	Fold5	host-associated--FALSE	0.9547141743834662
habitat	host-associated	species	Fold5	host-associated--TRUE	0.4866642633922876
habitat	host-associated	species	Fold6	host-associated--FALSE	0.9547141743834662
habitat	host-associated	species	Fold6	host-associated--TRUE	0.45670230791039607
habitat	host-associated	species	Fold7	host-associated--FALSE	0.9461460287356851
habitat	host-associated	species	Fold7	host-associated--TRUE	0.5671308728156005
habitat	host-associated	species	Fold8	host-associated--FALSE	0.9730276342280603
habitat	host-associated	species	Fold8	host-associated--TRUE	0.4866642633922876
habitat	host-associated	species	Fold9	host-associated--FALSE	0.929464090326082
habitat	host-associated	species	Fold9	host-associated--TRUE	0.4866642633922876
habitat	not_host-associated	species	Fold1	not_host-associated--FALSE	1
habitat	not_host-associated	species	Fold1	not_host-associated--TRUE	0.5273280443046439
habitat	not_host-associated	species	Fold10	not_host-associated--FALSE	1.0000000000000002
habitat	not_host-associated	species	Fold10	not_host-associated--TRUE	0.4624489380576338
habitat	not_host-associated	species	Fold2	not_host-associated--FALSE	0.9999999999999999
habitat	not_host-associated	species	Fold2	not_host-associated--TRUE	0.41601391098987645
habitat	not_host-associated	species	Fold3	not_host-associated--FALSE	0.9999999999999999
habitat	not_host-associated	species	Fold3	not_host-associated--TRUE	0.5273280443046439
habitat	not_host-associated	species	Fold4	not_host-associated--FALSE	1
habitat	not_host-associated	species	Fold4	not_host-associated--TRUE	0.41601391098987645
habitat	not_host-associated	species	Fold5	not_host-associated--FALSE	1.0000000000000002
habitat	not_host-associated	species	Fold5	not_host-associated--TRUE	0.5711420213538395
habitat	not_host-associated	species	Fold6	not_host-associated--FALSE	1
habitat	not_host-associated	species	Fold6	not_host-associated--TRUE	0.5711420213538395
habitat	not_host-associated	species	Fold7	not_host-associated--FALSE	1
habitat	not_host-associated	species	Fold7	not_host-associated--TRUE	0.41601391098987645
habitat	not_host-associated	species	Fold8	not_host-associated--FALSE	0.9999999999999999
habitat	not_host-associated	species	Fold8	not_host-associated--TRUE	0.5711084612855699
habitat	not_host-associated	species	Fold9	not_host-associated--FALSE	0.9999999999999999
habitat	not_host-associated	species	Fold9	not_host-associated--TRUE	0.5272890992262464
habitat	aquatic_biome	strain	Fold1	aquatic_biome--FALSE	1
habitat	aquatic_biome	strain	Fold1	aquatic_biome--TRUE	0.9999999999999998
habitat	aquatic_biome	strain	Fold10	aquatic_biome--FALSE	1
habitat	aquatic_biome	strain	Fold10	aquatic_biome--TRUE	0.7934920476158723
habitat	aquatic_biome	strain	Fold2	aquatic_biome--FALSE	1
habitat	aquatic_biome	strain	Fold2	aquatic_biome--TRUE	1.0000000000000002
habitat	aquatic_biome	strain	Fold3	aquatic_biome--FALSE	1
habitat	aquatic_biome	strain	Fold3	aquatic_biome--TRUE	0.7934920476158723
habitat	aquatic_biome	strain	Fold4	aquatic_biome--FALSE	1
habitat	aquatic_biome	strain	Fold4	aquatic_biome--TRUE	1.0000000000000002
habitat	aquatic_biome	strain	Fold5	aquatic_biome--FALSE	1
habitat	aquatic_biome	strain	Fold5	aquatic_biome--TRUE	0.7934920476158723
habitat	aquatic_biome	strain	Fold6	aquatic_biome--FALSE	1
habitat	aquatic_biome	strain	Fold6	aquatic_biome--TRUE	1.0000000000000002
habitat	aquatic_biome	strain	Fold7	aquatic_biome--FALSE	1
habitat	aquatic_biome	strain	Fold7	aquatic_biome--TRUE	0.7934920476158723
habitat	aquatic_biome	strain	Fold8	aquatic_biome--FALSE	1.0000000000000002
habitat	aquatic_biome	strain	Fold8	aquatic_biome--TRUE	1.0000000000000002
habitat	aquatic_biome	strain	Fold9	aquatic_biome--FALSE	1.0000000000000002
habitat	aquatic_biome	strain	Fold9	aquatic_biome--TRUE	1.0000000000000002
habitat	colonization_of_host	strain	Fold1	colonization_of_host--FALSE	1
habitat	colonization_of_host	strain	Fold1	colonization_of_host--TRUE	0.6918984060216639
habitat	colonization_of_host	strain	Fold10	colonization_of_host--FALSE	1
habitat	colonization_of_host	strain	Fold10	colonization_of_host--TRUE	1
habitat	colonization_of_host	strain	Fold2	colonization_of_host--FALSE	1
habitat	colonization_of_host	strain	Fold2	colonization_of_host--TRUE	0.6918984060216639
habitat	colonization_of_host	strain	Fold3	colonization_of_host--FALSE	1
habitat	colonization_of_host	strain	Fold3	colonization_of_host--TRUE	0.6918984060216639
habitat	colonization_of_host	strain	Fold4	colonization_of_host--FALSE	1
habitat	colonization_of_host	strain	Fold4	colonization_of_host--TRUE	0.8077637460938354
habitat	colonization_of_host	strain	Fold5	colonization_of_host--FALSE	1
habitat	colonization_of_host	strain	Fold5	colonization_of_host--TRUE	0.8077637460938354
habitat	colonization_of_host	strain	Fold6	colonization_of_host--FALSE	1.0000000000000002
habitat	colonization_of_host	strain	Fold6	colonization_of_host--TRUE	0.8077637460938354
habitat	colonization_of_host	strain	Fold7	colonization_of_host--FALSE	1
habitat	colonization_of_host	strain	Fold7	colonization_of_host--TRUE	0.6918984060216639
habitat	colonization_of_host	strain	Fold8	colonization_of_host--FALSE	1
habitat	colonization_of_host	strain	Fold8	colonization_of_host--TRUE	0.6918984060216639
habitat	colonization_of_host	strain	Fold9	colonization_of_host--FALSE	1
habitat	colonization_of_host	strain	Fold9	colonization_of_host--TRUE	0.611937974885023
habitat	multiple	strain	Fold1	multiple--FALSE	0.9999999999999999
habitat	multiple	strain	Fold1	multiple--TRUE	0.9999999999999999
habitat	multiple	strain	Fold10	multiple--FALSE	1.0000000000000002
habitat	multiple	strain	Fold10	multiple--TRUE	0.9999999999999999
habitat	multiple	strain	Fold2	multiple--FALSE	0.9999999999999999
habitat	multiple	strain	Fold2	multiple--TRUE	0.9999999999999999
habitat	multiple	strain	Fold3	multiple--FALSE	0.9999999999999999
habitat	multiple	strain	Fold3	multiple--TRUE	0.9999999999999999
habitat	multiple	strain	Fold4	multiple--FALSE	0.9999999999999999
habitat	multiple	strain	Fold4	multiple--TRUE	1
habitat	multiple	strain	Fold5	multiple--FALSE	0.9999999999999999
habitat	multiple	strain	Fold5	multiple--TRUE	0.695221787153807
habitat	multiple	strain	Fold6	multiple--FALSE	1
habitat	multiple	strain	Fold6	multiple--TRUE	1
habitat	multiple	strain	Fold7	multiple--FALSE	1.0000000000000002
habitat	multiple	strain	Fold7	multiple--TRUE	1.0000000000000002
habitat	multiple	strain	Fold8	multiple--FALSE	1.0000000000000002
habitat	multiple	strain	Fold8	multiple--TRUE	1.0000000000000002
habitat	multiple	strain	Fold9	multiple--FALSE	1.0000000000000002
habitat	multiple	strain	Fold9	multiple--TRUE	1.0000000000000002
